Time [s],Channel 9,Channel 10,Channel 11
0.000000000,0,0,0
9.008606396,1,0,0
9.010082408,0,0,0
9.476473648,0,0,1
9.476476502,0,1,1
9.477209670,0,1,0
9.479709134,0,0,0
9.946474550,0,0,1
9.946477390,0,1,1
9.947210574,0,1,0
9.949710038,0,0,0
10.416475448,0,0,1
10.416478288,0,1,1
10.417211472,0,1,0
10.419710936,0,0,0
10.886476342,0,0,1
10.886479182,0,1,1
10.887212364,0,1,0
10.889711828,0,0,0
11.356477230,0,0,1
11.356480070,0,1,1
11.357213252,0,1,0
11.359712716,0,0,0
11.826478114,0,0,1
11.826480952,0,1,1
11.827214136,0,1,0
11.829713600,0,0,0
12.296478992,0,0,1
12.296481832,0,1,1
12.297215014,0,1,0
12.299714478,0,0,0
12.766479866,0,0,1
12.766482706,0,1,1
12.767215888,0,1,0
12.769715352,0,0,0
13.236480736,0,0,1
13.236483576,0,1,1
13.237216758,0,1,0
13.239716222,0,0,0
13.706481600,0,0,1
13.706484440,0,1,1
13.707217622,0,1,0
13.709717088,0,0,0
14.176482462,0,0,1
14.176485302,0,1,1
14.177218484,0,1,0
14.179717948,0,0,0
14.646483318,0,0,1
14.646486158,0,1,1
14.647219340,0,1,0
14.649718804,0,0,0
15.116484170,0,0,1
15.116487010,0,1,1
15.117220194,0,1,0
15.119719656,0,0,0
15.586485020,0,0,1
15.586487858,0,1,1
15.587221042,0,1,0
15.589720506,0,0,0
16.056485864,0,0,1
16.056488704,0,1,1
16.057221886,0,1,0
16.059721350,0,0,0
16.526486704,0,0,1
16.526489546,0,1,1
16.527222728,0,1,0
16.529722192,0,0,0
16.996487542,0,0,1
16.996490382,0,1,1
16.997223566,0,1,0
16.998583456,1,1,0
17.000059468,0,1,0
17.000172280,0,0,0
17.466440376,0,0,1
17.466443216,0,1,1
17.467176398,0,1,0
17.469675862,0,0,0
17.936441206,0,0,1
17.936444046,0,1,1
17.937177228,0,1,0
17.939676692,0,0,0
18.406442034,0,0,1
18.406444874,0,1,1
18.407178056,0,1,0
18.409677520,0,0,0
18.876442856,0,0,1
18.876445698,0,1,1
18.877178880,0,1,0
18.879678342,0,0,0
19.346443678,0,0,1
19.346446518,0,1,1
19.347179700,0,1,0
19.349679164,0,0,0
19.816444494,0,0,1
19.816447334,0,1,1
19.817180518,0,1,0
19.819679980,0,0,0
20.286445308,0,0,1
20.286448150,0,1,1
20.287181332,0,1,0
20.289680796,0,0,0
20.756446120,0,0,1
20.756448960,0,1,1
20.757182142,0,1,0
20.759681606,0,0,0
21.226446928,0,0,1
21.226449768,0,1,1
21.227182950,0,1,0
21.229682414,0,0,0
21.696447734,0,0,1
21.696450574,0,1,1
21.697183756,0,1,0
21.699683220,0,0,0
22.166448536,0,0,1
22.166451376,0,1,1
22.167184558,0,1,0
22.169684022,0,0,0
22.636449336,0,0,1
22.636452176,0,1,1
