Time [s],Channel 5,Channel 6
184.313353130,0,0
185.320954800,0,1
185.322224508,1,1
185.324855940,0,1
185.324892316,0,0
186.330969838,0,1
186.333383106,0,0
187.340984722,0,1
187.343397988,0,0
188.350999650,0,1
188.353412668,0,0
189.361014446,0,1
189.363427714,0,0
190.371029420,0,1
190.373442438,0,0
191.381044318,0,1
191.383457584,0,0
192.391059258,0,1
192.393472274,0,0
193.401074162,0,1
193.403487178,0,0
194.411089026,0,1
194.413502292,0,0
195.421103972,0,1
195.422373492,1,1
195.425004886,0,1
195.425041238,0,0
196.431118738,0,1
196.433532004,0,0
197.441133680,0,1
197.443546696,0,0
198.451148552,0,1
198.453561568,0,0
199.461163482,0,1
199.463576498,0,0
200.471178310,0,1
200.473591326,0,0
201.481193300,0,1
201.483606316,0,0
202.491208112,0,1
202.493621130,0,0
203.501223030,0,1
203.503636046,0,0
204.511237910,0,1
204.513650928,0,0
205.521252792,0,1
205.522522482,1,1
205.525154290,0,1
205.525190060,0,0
206.531267746,0,1
206.533681012,0,0
207.541282690,0,1
207.543695706,0,0
208.551297544,0,1
208.553710810,0,0
209.561312476,0,1
209.563725494,0,0
210.571327350,0,1
210.573740616,0,0
211.581342284,0,1
211.583755300,0,0
212.591357158,0,1
212.593770424,0,0
213.601372060,0,1
213.603785076,0,0
214.611386900,0,1
214.612656606,1,1
214.615288608,0,1
214.615324416,0,0
215.621401884,0,1
215.623814900,0,0
216.631416828,0,1
216.633829844,0,0
217.641431680,0,1
217.643844948,0,0
218.651446618,0,1
218.653859634,0,0
219.661461486,0,1
219.663874752,0,0
220.671476432,0,1
220.673889450,0,0
221.681491224,0,1
221.683904490,0,0
222.691506192,0,1
222.693919210,0,0
223.701521052,0,1
223.703934318,0,0
224.711535974,0,1
224.712805516,1,1
224.715437450,0,1
224.715472990,0,0
225.721550828,0,1
225.723964096,0,0
226.731565794,0,1
226.733978812,0,0
227.741580632,0,1
227.743993900,0,0
228.751595542,0,1
228.754008560,0,0
229.761610424,0,1
229.764023692,0,0
230.771625330,0,1
230.774038346,0,0
231.781640202,0,1
231.784053468,0,0
232.791655150,0,1
232.794068166,0,0
