Time [s],Channel 5,Channel 6
0.000000000,0,1
0.641812574,1,1
0.644444800,0,1
0.644480080,0,0
0.645090376,0,1
9.731956354,1,1
9.734588198,0,1
9.734624026,0,0
9.735248164,0,1
9.736841434,0,0
10.740608066,0,1
10.743021086,0,0
11.750613710,0,1
11.753026730,0,0
12.760619344,0,1
12.763032362,0,0
13.770624968,0,1
13.773038238,0,0
14.780630624,0,1
14.783043894,0,0
15.790636208,0,1
15.793049476,0,0
16.800641838,0,1
16.803054856,0,0
17.810647406,0,1
17.813060426,0,0
18.820652942,0,1
18.823065960,0,0
19.830658438,0,1
19.832114086,1,1
19.834746502,0,1
19.834781710,0,0
20.840849906,0,1
20.843262926,0,0
21.850855428,0,1
21.853268448,0,0
22.860860878,0,1
22.863274148,0,0
23.870866334,0,1
23.873279602,0,0
24.880871912,0,1
24.883285180,0,0
25.890877290,0,1
25.893290310,0,0
26.900882796,0,1
26.903295816,0,0
27.910888252,0,1
27.913301270,0,0
28.920893598,0,1
28.923306868,0,0
29.930899022,0,1
29.932270586,1,1
29.934902516,0,1
29.934938292,0,0
30.941016652,0,1
30.943429672,0,0
31.951032190,0,1
31.953445460,0,0
32.961047798,0,1
32.963461068,0,0
33.971063342,0,1
33.973476612,0,0
34.981078972,0,1
34.983492242,0,0
35.991094554,0,1
35.993507572,0,0
37.001110144,0,1
37.003523162,0,0
38.011125656,0,1
38.013538674,0,0
39.021141228,0,1
39.023554246,0,0
40.031156798,0,1
40.032426384,1,1
40.035058412,0,1
40.035094068,0,0
41.041172252,0,1
41.043585522,0,0
42.051187824,0,1
42.053601092,0,0
43.061203336,0,1
43.063616604,0,0
44.071218882,0,1
44.073632152,0,0
45.081234418,0,1
45.083647436,0,0
46.091249928,0,1
46.093662946,0,0
47.101265424,0,1
47.103678442,0,0
48.111280936,0,1
48.113693954,0,0
49.121296444,0,1
49.123709464,0,0
50.131311890,0,1
50.132581504,1,1
50.135213426,0,1
50.135249158,0,0
51.141327328,0,1
51.143740596,0,0
52.151342858,0,1
52.153756126,0,0
53.161358274,0,1
53.163771544,0,0
54.171373804,0,1
54.173786824,0,0
55.181389248,0,1
55.183802268,0,0
56.191404716,0,1
56.193817734,0,0
57.201420238,0,1
57.203833256,0,0
58.211435622,0,1
58.213848892,0,0
59.221451108,0,1
59.223864376,0,0
60.231466556,0,1
60.232736302,1,1
60.235368222,0,1
60.235403826,0,0
61.241482044,0,1
61.243895314,0,0
62.251497580,0,1
62.253910848,0,0
63.261512992,0,1
63.263926260,0,0
64.271528452,0,1
64.273941720,0,0
65.281543884,0,1
65.283956902,0,0
66.291559368,0,1
66.293972386,0,0
67.301574774,0,1
67.303987792,0,0
68.311590198,0,1
68.314003218,0,0
69.321605610,0,1
69.324018628,0,0
70.331620990,0,1
70.332890708,1,1
70.335522882,0,1
70.335558508,0,0
71.341636524,0,1
71.344049792,0,0
72.351651972,0,1
72.354065240,0,0
73.361667400,0,1
73.364080418,0,0
74.371682810,0,1
74.374095828,0,0
75.381698250,0,1
75.384111270,0,0
76.391713670,0,1
76.394126688,0,0
77.401729082,0,1
77.404142102,0,0
78.411744480,0,1
78.414157498,0,0
79.421759818,0,1
79.424173088,0,0
80.431775214,0,1
80.433044824,1,1
80.435676974,0,1
80.435712484,0,0
81.441790522,0,1
81.444203792,0,0
82.451805956,0,1
82.454219224,0,0
83.461821378,0,1
83.464234646,0,0
84.471836758,0,1
84.474250028,0,0
85.481852148,0,1
85.484265166,0,0
86.491867556,0,1
86.494280574,0,0
87.501882934,0,1
87.504295952,0,0
88.511898324,0,1
88.514311342,0,0
89.521913700,0,1
89.524326720,0,0
90.531929140,0,1
90.533198864,1,1
90.535830888,0,1
90.535866658,0,0
91.541944564,0,1
91.544357832,0,0
92.551959944,0,1
