Time [s],Channel 9,Channel 10,Channel 11
0.000000000,0,0,0
5.646362052,1,0,0
5.647838064,0,0,0
6.114232872,0,0,1
6.114235712,0,1,1
6.114992894,0,1,0
6.117456874,0,0,0
6.584233828,0,0,1
6.584236652,0,1,1
6.584993850,0,1,0
6.587457830,0,0,0
7.054234778,0,0,1
7.054237602,0,1,1
7.054994800,0,1,0
7.057458780,0,0,0
7.524235722,0,0,1
7.524238546,0,1,1
7.524995744,0,1,0
7.527459726,0,0,0
7.994236662,0,0,1
7.994239486,0,1,1
7.994996684,0,1,0
7.997460664,0,0,0
8.464237596,0,0,1
8.464240420,0,1,1
8.464997618,0,1,0
8.467461598,0,0,0
8.934238524,0,0,1
8.934241348,0,1,1
8.934998546,0,1,0
8.937462526,0,0,0
9.404239448,0,0,1
9.404242272,0,1,1
9.404999470,0,1,0
9.407463450,0,0,0
9.874240366,0,0,1
9.874243192,0,1,1
9.875000390,0,1,0
9.877464370,0,0,0
10.344241282,0,0,1
10.344244106,0,1,1
10.345001304,0,1,0
10.347465284,0,0,0
10.814242192,0,0,1
10.814245016,0,1,1
10.815002214,0,1,0
10.817466194,0,0,0
11.284243098,0,0,1
11.284245922,0,1,1
11.285003120,0,1,0
11.287467100,0,0,0
11.754244000,0,0,1
11.754246824,0,1,1
11.755004022,0,1,0
11.757468002,0,0,0
12.224244896,0,0,1
12.224247722,0,1,1
12.225004920,0,1,0
12.227468900,0,0,0
12.694245790,0,0,1
12.694248616,0,1,1
12.695005812,0,1,0
12.697469792,0,0,0
13.164246680,0,0,1
13.164249506,0,1,1
13.165006702,0,1,0
13.167470682,0,0,0
13.634247566,0,0,1
13.634250392,0,1,1
13.635007590,0,1,0
13.636339784,1,1,0
13.637815796,0,1,0
13.637928382,0,0,0
14.104210450,0,0,1
14.104213274,0,1,1
14.104970472,0,1,0
14.107434452,0,0,0
14.574211328,0,0,1
14.574214152,0,1,1
14.574971350,0,1,0
14.577435330,0,0,0
15.044212204,0,0,1
15.044215028,0,1,1
15.044972226,0,1,0
15.047436206,0,0,0
15.514213076,0,0,1
15.514215900,0,1,1
15.514973098,0,1,0
15.517437078,0,0,0
15.984213944,0,0,1
15.984216768,0,1,1
15.984973966,0,1,0
15.987437946,0,0,0
16.454214810,0,0,1
16.454217634,0,1,1
16.454974832,0,1,0
16.457438812,0,0,0
16.924215672,0,0,1
16.924218496,0,1,1
16.924975694,0,1,0
16.927439674,0,0,0
17.394216532,0,0,1
17.394219356,0,1,1
17.394976554,0,1,0
17.397440534,0,0,0
17.864217388,0,0,1
17.864220212,0,1,1
17.864977410,0,1,0
17.867441390,0,0,0
18.334218240,0,0,1
18.334221066,0,1,1
18.334978264,0,1,0
18.337442242,0,0,0
18.804219092,0,0,1
18.804221916,0,1,1
18.804979114,0,1,0
18.807443094,0,0,0
19.274219938,0,0,1
19.274222764,0,1,1
19.274979964,0,1,0
19.277443940,0,0,0
19.744220784,0,0,1
19.744223608,0,1,1
19.744980806,0,1,0
19.747444786,0,0,0
20.214221626,0,0,1
20.214224452,0,1,1
20.214981648,0,1,0
20.217445628,0,0,0
20.684222466,0,0,1
20.684225290,0,1,1
20.684982488,0,1,0
20.687446468,0,0,0
21.154223304,0,0,1
21.154226128,0,1,1
21.154983326,0,1,0
21.157447306,0,0,0
21.624224138,0,0,1
21.624226962,0,1,1
21.624984160,0,1,0
21.627448140,0,0,0
22.094224970,0,0,1
22.094227606,0,1,1
22.094984992,0,1,0
22.097448784,0,0,0
22.564225798,0,0,1
22.564228622,0,1,1
22.564985820,0,1,0
22.567449800,0,0,0
23.034226626,0,0,1
23.034229450,0,1,1
23.034986648,0,1,0
23.037450628,0,0,0
23.504227450,0,0,1
23.504230274,0,1,1
23.504987472,0,1,0
23.506310840,1,1,0
23.507786852,0,1,0
23.507903264,0,0,0
23.974179272,0,0,1
23.974182096,0,1,1
23.974939294,0,1,0
23.977403274,0,0,0
24.444178092,0,0,1
24.444180916,0,1,1
24.444938114,0,1,0
24.447402094,0,0,0
24.914176910,0,0,1
24.914179734,0,1,1
24.914936932,0,1,0
24.917400912,0,0,0
25.384175726,0,0,1
25.384178550,0,1,1
25.384935748,0,1,0
25.387399728,0,0,0
25.854173540,0,0,1
25.854176364,0,1,1
25.854933562,0,1,0
25.857397540,0,0,0
26.324172350,0,0,1
26.324175176,0,1,1
26.324932372,0,1,0
26.327396352,0,0,0
26.794171160,0,0,1
26.794173984,0,1,1
26.794931182,0,1,0
26.797395162,0,0,0
27.264169966,0,0,1
27.264172792,0,1,1
27.264929990,0,1,0
27.267393968,0,0,0
27.734167772,0,0,1
27.734170596,0,1,1
27.734927794,0,1,0
27.737391774,0,0,0
28.204166576,0,0,1
28.204169400,0,1,1
28.204926598,0,1,0
