Time [s],Channel 5,Channel 6
0.000000000,1,0
8.756280292,0,0
8.756955772,1,0
8.757292882,0,0
9.159409110,0,1
9.160408628,0,0
9.160966610,0,1
9.617854908,1,1
9.620486672,0,1
9.620522582,0,0
9.621132846,0,1
19.488010838,1,1
19.490642726,0,1
19.490678574,0,0
19.491302962,0,1
19.492896230,0,0
19.956648418,0,1
19.959061686,0,0
20.426651068,0,1
20.429064088,0,0
20.896653650,0,1
20.899066668,0,0
21.366656298,0,1
21.369069318,0,0
21.836658904,0,1
21.839071924,0,0
22.306661468,0,1
22.309074738,0,0
22.776664160,0,1
22.779077178,0,0
23.246666746,0,1
23.249080014,0,0
23.716669414,0,1
23.719082432,0,0
24.186671978,0,1
24.189085248,0,0
24.656674678,0,1
24.659087698,0,0
25.126677266,0,1
25.129090534,0,0
25.596679882,0,1
25.599092900,0,0
26.066682456,0,1
26.069095724,0,0
26.536685124,0,1
26.539098144,0,0
27.006687656,0,1
27.009100924,0,0
27.476690278,0,1
27.479103298,0,0
27.946692860,0,1
27.949106128,0,0
28.416695490,0,1
28.419108510,0,0
28.886698046,0,1
28.889111064,0,0
29.356700608,0,1
29.358165560,1,1
29.360797396,0,1
29.360833378,0,0
29.826898578,0,1
29.829311848,0,0
30.296901144,0,1
30.299314162,0,0
30.766903718,0,1
30.769316986,0,0
31.236906330,0,1
31.239319350,0,0
31.706908876,0,1
31.709322144,0,0
32.176911498,0,1
32.179324516,0,0
32.646914024,0,1
32.649327294,0,0
33.116916652,0,1
33.119329672,0,0
33.586919162,0,1
33.589332432,0,0
34.056921786,0,1
34.059334804,0,0
34.526924326,0,1
34.529337346,0,0
34.996926940,0,1
34.999340208,0,0
35.466929492,0,1
35.469342510,0,0
35.936932006,0,1
35.939345274,0,0
36.406934594,0,1
36.409347864,0,0
36.876937204,0,1
36.879350224,0,0
37.346939698,0,1
37.349352966,0,0
37.816942326,0,1
37.819355344,0,0
38.286944862,0,1
38.289357882,0,0
38.756947432,0,1
38.759360450,0,0
39.226949940,0,1
39.228319580,1,1
39.230951068,0,1
39.230987210,0,0
39.697057242,0,1
39.699470510,0,0
40.167064578,0,1
40.169477598,0,0
40.637071838,0,1
40.639485108,0,0
41.107079216,0,1
41.109492236,0,0
41.577086508,0,1
41.579499528,0,0
42.047093796,0,1
42.049507066,0,0
42.517101112,0,1
42.519514130,0,0
42.987108420,0,1
42.989521438,0,0
43.457115704,0,1
43.459528724,0,0
43.927123088,0,1
43.929536106,0,0
44.397130318,0,1
44.399543588,0,0
44.867137696,0,1
44.869550714,0,0
45.337144928,0,1
45.339558198,0,0
45.807152264,0,1
45.809565534,0,0
46.277159584,0,1
