Time [s],Channel 5,Channel 6
0.000000000,1,0
0.724834218,0,0
0.725509896,1,0
0.725846896,0,0
1.110151928,0,1
1.111151448,0,0
1.111709586,0,1
2.123856636,1,1
2.126488860,0,1
2.126524122,0,0
2.127134354,0,1
11.214017892,1,1
11.216649758,0,1
11.216685590,0,0
11.217309948,0,1
11.218903218,0,0
12.222671210,0,1
12.225084234,0,0
13.232678696,0,1
13.235091720,0,0
14.242686182,0,1
14.245099454,0,0
15.252693700,0,1
15.255106724,0,0
16.262701226,0,1
16.265114248,0,0
17.272708692,0,1
17.275121716,0,0
18.282716102,0,1
18.285129124,0,0
19.292723494,0,1
19.295136768,0,0
20.302730874,0,1
20.305144146,0,0
21.312738332,0,1
21.314195126,1,1
21.316827414,0,1
21.316862858,0,0
22.322932970,0,1
22.325345994,0,0
23.332940352,0,1
23.335353374,0,0
24.342947674,0,1
24.345360946,0,0
25.352955026,0,1
25.355368300,0,0
26.362962364,0,1
26.365375638,0,0
27.372969732,0,1
27.375382756,0,0
28.382977100,0,1
28.385390122,0,0
29.392984340,0,1
29.395397612,0,0
30.402991578,0,1
30.405404850,0,0
31.412998948,0,1
31.414371168,1,1
31.417002956,0,1
31.417038974,0,0
32.423119058,0,1
32.425532080,0,0
33.433136582,0,1
33.435549854,0,0
34.443154086,0,1
34.445567358,0,0
35.453171622,0,1
35.455584894,0,0
36.463189140,0,1
36.465602412,0,0
37.473206620,0,1
37.475619642,0,0
38.483224100,0,1
38.485637122,0,0
39.493241610,0,1
39.495654632,0,0
40.503259090,0,1
40.505672112,0,0
41.513276560,0,1
41.514546380,1,1
41.517178422,0,1
41.517214086,0,0
42.523294274,0,1
42.525707296,0,0
43.533311764,0,1
43.535724786,0,0
44.543329260,0,1
44.545742284,0,0
45.553346700,0,1
45.555759722,0,0
46.563364120,0,1
46.565777142,0,0
47.573381582,0,1
47.575794856,0,0
48.583399066,0,1
48.585812088,0,0
49.593416466,0,1
49.595829490,0,0
50.603433872,0,1
50.605846894,0,0
51.613451326,0,1
51.614720936,1,1
51.617353532,0,1
51.617388602,0,0
52.623468728,0,1
52.625881750,0,0
53.633486154,0,1
53.635899176,0,0
54.643503540,0,1
54.645916562,0,0
55.653520954,0,1
55.655933976,0,0
56.663538322,0,1
56.665951344,0,0
57.673555768,0,1
57.675968790,0,0
58.683573166,0,1
58.685986188,0,0
59.693590514,0,1
59.696003786,0,0
60.703607898,0,1
60.706021170,0,0
61.713625226,0,1
61.714894958,1,1
61.717527238,0,1
61.717562502,0,0
62.723642742,0,1
62.726055766,0,0
63.733660120,0,1
63.736073142,0,0
64.743677470,0,1
64.746090490,0,0
65.753694828,0,1
65.756107850,0,0
66.763712172,0,1
66.766125444,0,0
67.773729546,0,1
67.776142818,0,0
68.783746916,0,1
68.786160188,0,0
69.793764260,0,1
69.796177532,0,0
70.803781616,0,1
70.806194888,0,0
71.813798980,0,1
71.815068486,1,1
71.817700966,0,1
71.817736254,0,0
72.823816188,0,1
72.826229210,0,0
73.833833530,0,1
73.836246552,0,0
74.843850880,0,1
74.846263902,0,0
75.853868146,0,1
75.856281168,0,0
76.863885454,0,1
76.866298476,0,0
77.873902800,0,1
77.876315822,0,0
78.883920110,0,1
78.886333132,0,0
79.893937424,0,1
79.896350446,0,0
80.903954746,0,1
80.906368018,0,0
81.913972038,0,1
81.915241668,1,1
81.917873616,0,1
81.917909312,0,0
82.923989344,0,1
82.926402366,0,0
83.934006664,0,1
83.936419686,0,0
84.944023952,0,1
84.946436974,0,0
85.954041222,0,1
85.956454244,0,0
86.964058518,0,1
86.966471540,0,0
87.974075778,0,1
87.976488800,0,0
88.984093064,0,1
88.986506086,0,0
89.994110320,0,1
89.996523342,0,0
91.004127600,0,1
91.006540622,0,0
92.014144926,0,1
92.015414712,1,1
92.018046736,0,1
92.018082200,0,0
93.024162282,0,1
93.026575304,0,0
94.034179512,0,1
94.036592534,0,0
95.044196830,0,1
95.046609850,0,0
96.054214076,0,1
96.056627098,0,0
97.064231352,0,1
97.066644374,0,0
98.074248600,0,1
98.076661620,0,0
99.084265848,0,1
99.086679120,0,0
100.094283124,0,1
100.096696396,0,0
101.104300366,0,1
101.106713638,0,0
102.114317582,0,1
102.115587276,1,1
102.118219716,0,1
102.118254856,0,0
103.124335000,0,1
103.126748022,0,0
104.134352214,0,1
104.136765236,0,0
105.144369520,0,1
105.146782542,0,0
106.154386712,0,1
106.156799734,0,0
107.164403948,0,1
107.166816970,0,0
108.174421148,0,1
108.176834420,0,0
109.184438416,0,1
109.186851438,0,0
110.194455650,0,1
110.196868672,0,0
111.204472856,0,1
111.205742438,1,1
111.208374518,0,1
111.208410130,0,0
112.214490070,0,1
112.216903092,0,0
113.224507316,0,1
113.226920338,0,0
114.234524510,0,1
114.236937532,0,0
115.244541728,0,1
115.246954750,0,0
116.254558936,0,1
116.256972208,0,0
117.264576198,0,1
117.266989468,0,0
118.274593350,0,1
118.277006622,0,0
119.284610562,0,1
119.287023834,0,0
120.294627782,0,1
120.297041054,0,0
121.304645068,0,1
121.305914562,1,1
121.308546100,0,1
121.308582342,0,0
122.314662134,0,1
122.317075156,0,0
123.324679326,0,1
123.327092348,0,0
124.334696498,0,1
124.337109520,0,0
125.344713690,0,1
125.347126712,0,0
126.354730846,0,1
126.357143868,0,0
127.364748070,0,1
127.367161092,0,0
128.374765278,0,1
128.377178300,0,0
129.384782446,0,1
129.387195468,0,0
130.394799652,0,1
130.397212924,0,0
131.404816792,0,1
131.406086546,1,1
131.408718824,0,1
131.408754066,0,0
132.414834108,0,1
132.417247130,0,0
133.424851272,0,1
133.427264292,0,0
134.434868426,0,1
134.437281448,0,0
135.444885614,0,1
135.447298636,0,0
136.454902780,0,1
136.457315802,0,0
137.464919954,0,1
137.467332976,0,0
138.474937094,0,1
138.477350368,0,0
139.484954258,0,1
139.487367528,0,0
140.494971386,0,1
140.497384658,0,0
141.504988578,0,1
141.506258194,1,1
141.508890182,0,1
141.508925852,0,0
142.515005728,0,1
142.517418750,0,0
143.525022876,0,1
143.527435898,0,0
144.535040064,0,1
144.537453086,0,0
145.545057216,0,1
145.547470236,0,0
146.555074330,0,1
146.557487352,0,0
147.565091482,0,1
147.567504504,0,0
148.575108636,0,1
148.577521658,0,0
149.585125734,0,1
149.587538756,0,0
150.595142846,0,1
150.597555868,0,0
151.605160018,0,1
151.606429680,1,1
151.609061534,0,1
151.609097292,0,0
152.615177136,0,1
152.617590158,0,0
153.625194284,0,1
153.627607306,0,0
154.635211374,0,1
154.637624396,0,0
155.645228532,0,1
155.647641554,0,0
156.655245642,0,1
156.657658664,0,0
157.665262756,0,1
157.667675778,0,0
158.675279876,0,1
158.677692898,0,0
159.685297024,0,1
159.687710296,0,0
160.695314172,0,1
160.697727444,0,0
161.705331232,0,1
161.706600942,1,1
161.709232846,0,1
161.709268756,0,0
162.715348506,0,1
162.717761528,0,0
163.725365560,0,1
163.727778580,0,0
164.735382690,0,1
164.737795712,0,0
165.745399800,0,1
165.747812822,0,0
166.755416892,0,1
166.757829914,0,0
167.765434040,0,1
167.767847312,0,0
168.775451060,0,1
168.777864332,0,0
169.785468192,0,1
169.787881464,0,0
170.795485312,0,1
170.797898584,0,0
171.805502388,0,1
171.806771990,1,1
171.809404058,0,1
171.809439662,0,0
172.815519534,0,1
172.817932556,0,0
173.825536630,0,1
173.827949652,0,0
174.835553696,0,1
174.837966718,0,0
175.845570790,0,1
175.847983810,0,0
176.855587820,0,1
176.858000842,0,0
177.865604950,0,1
177.868017970,0,0
178.875621988,0,1
178.878035258,0,0
179.885639088,0,1
179.888052358,0,0
180.895656166,0,1
180.898069436,0,0
181.905673236,0,1
181.906942912,1,1
181.909574826,0,1
181.909610510,0,0
182.915690468,0,1
182.918103490,0,0
183.925707500,0,1
183.928120522,0,0
184.935724574,0,1
184.938137596,0,0
185.945741626,0,1
185.948154648,0,0
186.955758696,0,1
186.958171718,0,0
187.965775782,0,1
187.968188804,0,0
188.975792800,0,1
188.978206072,0,0
189.985809918,0,1
189.988223188,0,0
190.995826898,0,1
190.998240170,0,0
