Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 8,Channel 9
0.000000000,0,0,0,0,0,0,0
5.533648088,0,1,0,0,0,0,0
5.533787840,0,1,0,1,0,0,0
5.535422852,0,0,0,1,0,0,0
5.535562600,0,0,0,0,0,0,0
9.586146736,0,0,0,0,0,0,1
9.588770728,0,0,0,0,0,1,1
9.588770808,0,0,0,0,0,1,0
9.589253384,0,1,0,0,0,1,0
9.589393196,0,1,0,1,0,1,0
18.676208484,0,1,0,1,0,1,1
18.678832492,0,1,0,1,0,0,1
18.678832552,0,1,0,1,0,0,0
18.679329460,0,0,0,1,0,0,0
18.679469144,0,0,0,0,0,0,0
18.724488268,1,0,0,0,0,0,0
18.724832956,1,1,0,0,0,0,0
18.724939456,1,1,0,0,1,0,0
18.725069084,1,1,0,1,1,0,0
19.684526432,0,1,0,1,1,0,0
19.684871156,0,0,0,1,1,0,0
19.684955660,0,0,0,1,0,0,0
19.685085280,0,0,0,0,0,0,0
19.734515060,1,0,0,0,0,0,0
19.734859344,1,1,0,0,0,0,0
19.734956468,1,1,0,0,1,0,0
19.735086092,1,1,0,1,1,0,0
20.694522736,0,1,0,1,1,0,0
20.694867456,0,0,0,1,1,0,0
20.694972648,0,0,0,1,0,0,0
20.695102272,0,0,0,0,0,0,0
20.744541828,1,0,0,0,0,0,0
20.744886332,1,1,0,0,0,0,0
20.744973456,1,1,0,0,1,0,0
20.745103080,1,1,0,1,1,0,0
21.704549512,0,1,0,1,1,0,0
21.704894264,0,0,0,1,1,0,0
21.704989708,0,0,0,1,0,0,0
21.705119328,0,0,0,0,0,0,0
21.754538108,1,0,0,0,0,0,0
21.754882828,1,1,0,0,0,0,0
21.754990576,1,1,0,0,1,0,0
21.755120204,1,1,0,1,1,0,0
22.714576264,0,1,0,1,1,0,0
22.714920892,0,0,0,1,1,0,0
22.715006708,0,0,0,1,0,0,0
22.715136328,0,0,0,0,0,0,0
22.764564888,1,0,0,0,0,0,0
22.764909700,1,1,0,0,0,0,0
22.765007512,1,1,0,0,1,0,0
22.765137136,1,1,0,1,1,0,0
23.724572504,0,1,0,1,1,0,0
23.724917004,0,0,0,1,1,0,0
23.725023696,0,0,0,1,0,0,0
23.725153316,0,0,0,0,0,0,0
23.774591696,1,0,0,0,0,0,0
23.774936600,1,1,0,0,0,0,0
23.775024540,1,1,0,0,1,0,0
23.775154164,1,1,0,1,1,0,0
24.734599272,0,1,0,1,1,0,0
24.734943652,0,0,0,1,1,0,0
24.735040716,0,0,0,1,0,0,0
24.735170336,0,0,0,0,0,0,0
24.784587936,1,0,0,0,0,0,0
24.784932844,1,1,0,0,0,0,0
24.785041532,1,1,0,0,1,0,0
24.785171156,1,1,0,1,1,0,0
25.744626036,0,1,0,1,1,0,0
25.744971072,0,0,0,1,1,0,0
25.745057636,0,0,0,1,0,0,0
25.745187256,0,0,0,0,0,0,0
25.775693424,1,0,0,0,0,0,0
25.776037892,1,1,0,0,0,0,0
25.776269268,1,1,1,0,0,0,0
25.776285328,1,1,1,0,1,0,0
25.776457516,1,1,1,0,1,0,1
25.777197532,1,1,1,0,1,0,0
25.777215888,1,1,1,0,1,1,0
25.777726348,1,1,1,0,0,1,0
25.777855948,1,1,1,1,0,1,0
25.778268572,1,1,1,1,0,1,1
25.778876712,1,1,1,1,0,0,1
25.778876776,1,1,1,1,0,0,0
25.794370472,0,1,1,1,0,0,0
25.794715472,0,0,1,1,0,0,0
25.794813516,0,0,1,1,1,0,0
25.794943160,0,0,1,0,1,0,0
26.754378124,1,0,1,0,1,0,0
26.754722816,1,1,1,0,1,0,0
26.754829712,1,1,1,0,0,0,0
26.754959312,1,1,1,1,0,0,0
26.804397252,0,1,1,1,0,0,0
26.804741756,0,0,1,1,0,0,0
26.804830488,0,0,1,1,1,0,0
26.804960128,0,0,1,0,1,0,0
27.764404816,1,0,1,0,1,0,0
27.764749504,1,1,1,0,1,0,0
27.764846652,1,1,1,0,0,0,0
27.764976256,1,1,1,1,0,0,0
27.814393428,0,1,1,1,0,0,0
27.814737808,0,0,1,1,0,0,0
27.814847412,0,0,1,1,1,0,0
27.814977056,0,0,1,0,1,0,0
28.774431524,1,0,1,0,1,0,0
28.774775992,1,1,1,0,1,0,0
28.774863516,1,1,1,0,0,0,0
28.774993116,1,1,1,1,0,0,0
28.776275488,1,1,1,1,0,0,1
28.778899604,1,1,1,1,0,1,1
28.778899684,1,1,1,1,0,1,0
28.824389656,0,1,1,1,0,1,0
28.824734036,0,0,1,1,0,1,0
28.824833952,0,0,1,1,1,1,0
28.824963596,0,0,1,0,1,1,0
29.784397156,1,0,1,0,1,1,0
29.784741692,1,1,1,0,1,1,0
29.784850024,1,1,1,0,0,1,0
29.784979628,1,1,1,1,0,1,0
29.834416336,0,1,1,1,0,1,0
29.834761056,0,0,1,1,0,1,0
29.834850852,0,0,1,1,1,1,0
29.834980496,0,0,1,0,1,1,0
30.794423804,1,0,1,0,1,1,0
30.794768308,1,1,1,0,1,1,0
30.794866956,1,1,1,0,0,1,0
30.794996556,1,1,1,1,0,1,0
30.844412488,0,1,1,1,0,1,0
30.844757524,0,0,1,1,0,1,0
30.844867816,0,0,1,1,1,1,0
30.844997460,0,0,1,0,1,1,0
31.804450512,1,0,1,0,1,1,0
31.804795328,1,1,1,0,1,1,0
31.804883848,1,1,1,0,0,1,0
31.805013452,1,1,1,1,0,1,0
31.854439180,0,1,1,1,0,1,0
31.854783712,0,0,1,1,0,1,0
31.854884696,0,0,1,1,1,1,0
31.855014340,0,0,1,0,1,1,0
32.814446656,1,0,1,0,1,1,0
32.814791252,1,1,1,0,1,1,0
32.814900772,1,1,1,0,0,1,0
32.815030376,1,1,1,1,0,1,0
32.864465856,0,1,1,1,0,1,0
32.864810484,0,0,1,1,0,1,0
32.864901528,0,0,1,1,1,1,0
32.865031168,0,0,1,0,1,1,0
33.824473336,1,0,1,0,1,1,0
33.824818152,1,1,1,0,1,1,0
33.824917672,1,1,1,0,0,1,0
33.825047276,1,1,1,1,0,1,0
33.874461956,0,1,1,1,0,1,0
33.874806612,0,0,1,1,0,1,0
33.874918472,0,0,1,1,1,1,0
33.875048112,0,0,1,0,1,1,0
34.834499964,1,0,1,0,1,1,0
34.834844496,1,1,1,0,1,1,0
34.834934520,1,1,1,0,0,1,0
34.835064120,1,1,1,1,0,1,0
34.884488584,0,1,1,1,0,1,0
34.884833024,0,0,1,1,0,1,0
34.884935380,0,0,1,1,1,1,0
34.885065024,0,0,1,0,1,1,0
35.844496076,1,0,1,0,1,1,0
35.844841140,1,1,1,0,1,1,0
35.844951412,1,1,1,0,0,1,0
35.845081016,1,1,1,1,0,1,0
35.875594024,0,1,1,1,0,1,0
35.875938560,0,0,1,1,0,1,0
35.876162996,0,0,0,1,0,1,0
35.876178976,0,0,0,1,1,1,0
35.876351164,0,0,0,1,1,1,1
35.877091180,0,0,0,1,1,1,0
35.877109552,0,0,0,1,1,0,0
35.877620056,0,0,0,1,0,0,0
35.877749676,0,0,0,0,0,0,0
35.878162284,0,0,0,0,0,0,1
35.878770404,0,0,0,0,0,1,1
35.878770484,0,0,0,0,0,1,0
35.894423640,1,0,0,0,0,1,0
35.894768672,1,1,0,0,0,1,0
35.894880232,1,1,0,0,1,1,0
35.895009860,1,1,0,1,1,1,0
36.854461716,0,1,0,1,1,1,0
36.854806188,0,0,0,1,1,1,0
36.854896252,0,0,0,1,0,1,0
36.855025872,0,0,0,0,0,1,0
36.904450292,1,0,0,0,0,1,0
36.904794764,1,1,0,0,0,1,0
36.904897136,1,1,0,0,1,1,0
36.905026764,1,1,0,1,1,1,0
37.864457828,0,1,0,1,1,1,0
37.864802424,0,0,0,1,1,1,0
37.864913116,0,0,0,1,0,1,0
37.865042736,0,0,0,0,0,1,0
37.914476960,1,0,0,0,0,1,0
37.914821648,1,1,0,0,0,1,0
37.914913900,1,1,0,0,1,1,0
37.915043524,1,1,0,1,1,1,0
38.874484456,0,1,0,1,1,1,0
38.874829268,0,0,0,1,1,1,0
38.874930024,0,0,0,1,0,1,0
38.875059644,0,0,0,0,0,1,0
38.876341624,0,0,0,0,0,1,1
38.878965628,0,0,0,0,0,0,1
38.878965692,0,0,0,0,0,0,0
38.924442524,1,0,0,0,0,0,0
38.924787336,1,1,0,0,0,0,0
38.924899524,1,1,0,0,1,0,0
38.925029148,1,1,0,1,1,0,0
39.884449996,0,1,0,1,1,0,0
39.884794872,0,0,0,1,1,0,0
39.884905752,0,0,0,1,0,0,0
39.885035372,0,0,0,0,0,0,0
39.934469124,1,0,0,0,0,0,0
39.934813720,1,1,0,0,0,0,0
39.934906032,1,1,0,0,1,0,0
39.935035656,1,1,0,1,1,0,0
40.894476612,0,1,0,1,1,0,0
40.894820648,0,0,0,1,1,0,0
40.894912340,0,0,0,1,0,0,0
40.895041960,0,0,0,0,0,0,0
40.944465216,1,0,0,0,0,0,0
40.944809716,1,1,0,0,0,0,0
40.944912652,1,1,0,0,1,0,0
40.945042276,1,1,0,1,1,0,0
41.904472664,0,1,0,1,1,0,0
41.904817288,0,0,0,1,1,0,0
41.904918856,0,0,0,1,0,0,0
41.905048476,0,0,0,0,0,0,0
41.954491800,1,0,0,0,0,0,0
41.954836336,1,1,0,0,0,0,0
41.954919148,1,1,0,0,1,0,0
41.955048772,1,1,0,1,1,0,0
42.914468732,0,1,0,1,1,0,0
42.914813200,0,0,0,1,1,0,0
42.914925456,0,0,0,1,0,0,0
42.915055076,0,0,0,0,0,0,0
42.964487884,1,0,0,0,0,0,0
42.964832916,1,1,0,0,0,0,0
42.964925788,1,1,0,0,1,0,0
42.965055416,1,1,0,1,1,0,0
43.924495336,0,1,0,1,1,0,0
43.924840088,0,0,0,1,1,0,0
43.924931968,0,0,0,1,0,0,0
43.925061588,0,0,0,0,0,0,0
43.974483916,1,0,0,0,0,0,0
43.974828604,1,1,0,0,0,0,0
43.974932232,1,1,0,0,1,0,0
43.975061856,1,1,0,1,1,0,0
44.934491408,0,1,0,1,1,0,0
44.934836284,0,0,0,1,1,0,0
44.934938540,0,0,0,1,0,0,0
44.935068160,0,0,0,0,0,0,0
