Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 8,Channel 9
0.000000000,0,0,0,0,0,0,0
5.549586440,0,1,0,0,0,0,0
5.549726376,0,1,0,1,0,0,0
5.578936944,1,1,0,1,0,0,0
5.579281588,1,0,0,1,0,0,0
5.579379568,1,0,0,1,1,0,0
5.579509212,1,0,0,0,1,0,0
6.560031020,0,0,0,0,1,0,0
6.560375632,0,1,0,0,1,0,0
6.560605568,0,1,1,0,1,0,0
6.560621588,0,1,1,0,0,0,0
6.560793752,0,1,1,0,0,0,1
6.563421756,0,1,1,0,0,0,0
6.563440116,0,1,1,0,0,1,0
6.588962072,1,1,1,0,0,1,0
6.589306652,1,0,1,0,0,1,0
6.589394948,1,0,1,0,1,1,0
6.589524572,1,0,1,1,1,1,0
7.568957524,0,0,1,1,1,1,0
7.569302072,0,1,1,1,1,1,0
7.569409968,0,1,1,1,0,1,0
7.569539588,0,1,1,0,0,1,0
7.598956720,1,1,1,0,0,1,0
7.599301456,1,0,1,0,0,1,0
7.599410316,1,0,1,0,1,1,0
7.599539940,1,0,1,1,1,1,0
8.578982648,0,0,1,1,1,1,0
8.579327380,0,1,1,1,1,1,0
8.579425276,0,1,1,1,0,1,0
8.579554896,0,1,1,0,0,1,0
8.608981852,1,1,1,0,0,1,0
8.609326560,1,0,1,0,0,1,0
8.609425728,1,0,1,0,1,1,0
8.609555352,1,0,1,1,1,1,0
9.589007780,0,0,1,1,1,1,0
9.589352356,0,1,1,1,1,1,0
9.589440628,0,1,1,1,0,1,0
9.589570248,0,1,1,0,0,1,0
9.619007032,1,1,1,0,0,1,0
9.619351616,1,0,1,0,0,1,0
9.619441096,1,0,1,0,1,1,0
9.619570720,1,0,1,1,1,1,0
10.599002368,0,0,1,1,1,1,0
10.599347164,0,1,1,1,1,1,0
10.599456000,0,1,1,1,0,1,0
10.599585620,0,1,1,0,0,1,0
10.629001548,1,1,1,0,0,1,0
10.629346192,1,0,1,0,0,1,0
10.629456488,1,0,1,0,1,1,0
10.629586112,1,0,1,1,1,1,0
11.609027424,0,0,1,1,1,1,0
11.609371908,0,1,1,1,1,1,0
11.609471368,0,1,1,1,0,1,0
11.609600988,0,1,1,0,0,1,0
11.639026672,1,1,1,0,0,1,0
11.639371128,1,0,1,0,0,1,0
11.639471732,1,0,1,0,1,1,0
11.639601360,1,0,1,1,1,1,0
12.619052596,0,0,1,1,1,1,0
12.619397204,0,1,1,1,1,1,0
12.619486664,0,1,1,1,0,1,0
12.619616284,0,1,1,0,0,1,0
12.649051768,1,1,1,0,0,1,0
12.649396288,1,0,1,0,0,1,0
12.649487080,1,0,1,0,1,1,0
12.649616704,1,0,1,1,1,1,0
13.629047136,0,0,1,1,1,1,0
13.629391680,0,1,1,1,1,1,0
13.629501952,0,1,1,1,0,1,0
13.629631572,0,1,1,0,0,1,0
13.659046312,1,1,1,0,0,1,0
13.659390832,1,0,1,0,0,1,0
13.659502376,1,0,1,0,1,1,0
13.659632000,1,0,1,1,1,1,0
14.639072188,0,0,1,1,1,1,0
14.639416828,0,1,1,1,1,1,0
14.639517228,0,1,1,1,0,1,0
14.639646848,0,1,1,0,0,1,0
14.669071396,1,1,1,0,0,1,0
14.669415824,1,0,1,0,0,1,0
14.669517680,1,0,1,0,1,1,0
14.669647304,1,0,1,1,1,1,0
15.650165316,0,0,1,1,1,1,0
15.650509956,0,1,1,1,1,1,0
15.650743660,0,1,0,1,1,1,0
15.650759668,0,1,0,1,0,1,0
15.650931832,0,1,0,1,0,1,1
15.653559832,0,1,0,1,0,1,0
15.653578208,0,1,0,1,0,0,0
15.679096404,1,1,0,1,0,0,0
15.679440612,1,0,0,1,0,0,0
15.679532968,1,0,0,1,1,0,0
15.679662612,1,0,0,0,1,0,0
16.659091732,0,0,0,0,1,0,0
16.659436248,0,1,0,0,1,0,0
16.659547768,0,1,0,0,0,0,0
16.659677372,0,1,0,1,0,0,0
16.689090940,1,1,0,1,0,0,0
16.689435800,1,0,0,1,0,0,0
16.689548220,1,0,0,1,1,0,0
16.689677864,1,0,0,0,1,0,0
17.669116756,0,0,0,0,1,0,0
17.669461580,0,1,0,0,1,0,0
17.669563040,0,1,0,0,0,0,0
17.669692644,0,1,0,1,0,0,0
17.699115984,1,1,0,1,0,0,0
17.699460532,1,0,0,1,0,0,0
17.699563516,1,0,0,1,1,0,0
17.699693156,1,0,0,0,1,0,0
18.679141732,0,0,0,0,1,0,0
18.679486032,0,1,0,0,1,0,0
18.679578304,0,1,0,0,0,0,0
18.679707904,0,1,0,1,0,0,0
18.709140996,1,1,0,1,0,0,0
18.709485576,1,0,0,1,0,0,0
18.709578684,1,0,0,1,1,0,0
18.709708328,1,0,0,0,1,0,0
19.689136192,0,0,0,0,1,0,0
19.689480676,0,1,0,0,1,0,0
19.689593508,0,1,0,0,0,0,0
19.689723112,0,1,0,1,0,0,0
19.719165992,1,1,0,1,0,0,0
19.719510852,1,0,0,1,0,0,0
19.719593960,1,0,0,1,1,0,0
19.719723604,1,0,0,0,1,0,0
20.699161184,0,0,0,0,1,0,0
20.699505824,0,1,0,0,1,0,0
20.699608784,0,1,0,0,0,0,0
