Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 8,Channel 9
0.000000000,0,0,0,0,0,0,0
4.913299516,0,1,0,0,0,0,0
4.913439328,0,1,0,1,0,0,0
4.915074116,0,0,0,1,0,0,0
4.915213992,0,0,0,0,0,0,0
8.966832412,0,0,0,0,0,0,1
8.969456396,0,0,0,0,0,1,1
8.969456476,0,0,0,0,0,1,0
8.969938552,0,1,0,0,0,1,0
8.970078364,0,1,0,1,0,1,0
18.056873304,0,1,0,1,0,1,1
18.059497308,0,1,0,1,0,0,1
18.059497368,0,1,0,1,0,0,0
18.059993928,0,0,0,1,0,0,0
18.060133680,0,0,0,0,0,0,0
18.105165048,1,0,0,0,0,0,0
18.105509488,1,1,0,0,0,0,0
18.105604548,1,1,0,0,1,0,0
18.105734176,1,1,0,1,1,0,0
19.065170496,0,1,0,1,1,0,0
19.065515124,0,0,0,1,1,0,0
19.065618564,0,0,0,1,0,0,0
19.065748184,0,0,0,0,0,0,0
19.115189504,1,0,0,0,0,0,0
19.115534004,1,1,0,0,0,0,0
19.115619256,1,1,0,0,1,0,0
19.115748880,1,1,0,1,1,0,0
20.075195000,0,1,0,1,1,0,0
20.075539628,0,0,0,1,1,0,0
20.075633320,0,0,0,1,0,0,0
20.075762940,0,0,0,0,0,0,0
20.125183488,1,0,0,0,0,0,0
20.125528144,1,1,0,0,0,0,0
20.125633956,1,1,0,0,1,0,0
20.125763584,1,1,0,1,1,0,0
21.085219480,0,1,0,1,1,0,0
21.085563916,0,0,0,1,1,0,0
21.085648048,0,0,0,1,0,0,0
21.085777668,0,0,0,0,0,0,0
21.135207980,1,0,0,0,0,0,0
21.135552700,1,1,0,0,0,0,0
21.135648700,1,1,0,0,1,0,0
21.135778324,1,1,0,1,1,0,0
22.095213408,0,1,0,1,1,0,0
22.095558316,0,0,0,1,1,0,0
22.095662756,0,0,0,1,0,0,0
22.095792376,0,0,0,0,0,0,0
22.145232476,1,0,0,0,0,0,0
22.145577068,1,1,0,0,0,0,0
22.145663508,1,1,0,0,1,0,0
22.145793132,1,1,0,1,1,0,0
23.105237884,0,1,0,1,1,0,0
23.105582476,0,0,0,1,1,0,0
23.105677420,0,0,0,1,0,0,0
23.105807040,0,0,0,0,0,0,0
23.155226392,1,0,0,0,0,0,0
23.155571364,1,1,0,0,0,0,0
23.155678176,1,1,0,0,1,0,0
23.155807800,1,1,0,1,1,0,0
24.115262380,0,1,0,1,1,0,0
24.115606660,0,0,0,1,1,0,0
24.115692104,0,0,0,1,0,0,0
24.115821724,0,0,0,0,0,0,0
24.165250884,1,0,0,0,0,0,0
24.165595512,1,1,0,0,0,0,0
24.165692824,1,1,0,0,1,0,0
24.165822448,1,1,0,1,1,0,0
25.125256280,0,1,0,1,1,0,0
25.125600844,0,0,0,1,1,0,0
25.125706852,0,0,0,1,0,0,0
