Time [s],Channel 9,Channel 10,Channel 11
0.000000000,0,0,0
6.411930054,1,0,0
6.413406064,0,0,0
6.879789682,0,0,1
6.879792538,0,1,1
6.880525704,0,1,0
6.883025164,0,0,0
7.349789734,0,0,1
7.349792574,0,1,1
7.350525756,0,1,0
7.353025214,0,0,0
7.819789780,0,0,1
7.819792620,0,1,1
7.820525802,0,1,0
7.823025260,0,0,0
8.289789820,0,0,1
8.289792660,0,1,1
8.290525840,0,1,0
8.293025300,0,0,0
8.759789854,0,0,1
8.759792694,0,1,1
8.760525876,0,1,0
8.763025334,0,0,0
9.229789884,0,0,1
9.229792724,0,1,1
9.230525904,0,1,0
9.233025364,0,0,0
9.699789906,0,0,1
9.699792748,0,1,1
9.700525928,0,1,0
9.703025388,0,0,0
10.169789926,0,0,1
10.169792766,0,1,1
10.170525948,0,1,0
10.173025406,0,0,0
10.639789940,0,0,1
10.639792780,0,1,1
10.640525962,0,1,0
10.643025420,0,0,0
11.109789950,0,0,1
11.109792790,0,1,1
11.110525972,0,1,0
11.113025430,0,0,0
11.579789956,0,0,1
11.579792796,0,1,1
11.580525976,0,1,0
11.583025436,0,0,0
12.049789956,0,0,1
12.049792796,0,1,1
12.050525978,0,1,0
12.053025436,0,0,0
12.519789954,0,0,1
12.519792794,0,1,1
12.520525974,0,1,0
12.523025434,0,0,0
12.989789946,0,0,1
12.989792786,0,1,1
12.990525966,0,1,0
12.993025426,0,0,0
13.459789934,0,0,1
13.459792774,0,1,1
13.460525954,0,1,0
13.463025414,0,0,0
13.929789918,0,0,1
13.929792760,0,1,1
13.930525940,0,1,0
13.933025400,0,0,0
14.399789900,0,0,1
14.399792740,0,1,1
14.400525922,0,1,0
14.401892240,1,1,0
14.403368250,0,1,0
14.403482068,0,0,0
14.869757878,0,0,1
14.869760718,0,1,1
14.870493898,0,1,0
14.872993358,0,0,0
15.339757852,0,0,1
15.339760692,0,1,1
15.340493872,0,1,0
15.342993332,0,0,0
15.809757822,0,0,1
15.809760662,0,1,1
15.810493842,0,1,0
15.812993302,0,0,0
16.279757788,0,0,1
16.279760628,0,1,1
16.280493810,0,1,0
16.282993268,0,0,0
16.749757752,0,0,1
16.749760592,0,1,1
16.750493772,0,1,0
16.752993232,0,0,0
17.219757712,0,0,1
17.219760552,0,1,1
17.220493734,0,1,0
17.222993192,0,0,0
17.689757670,0,0,1
17.689760510,0,1,1
17.690493690,0,1,0
17.692993150,0,0,0
18.159757624,0,0,1
18.159760464,0,1,1
18.160493646,0,1,0
18.162993104,0,0,0
18.629757574,0,0,1
18.629760416,0,1,1
18.630493596,0,1,0
18.632993056,0,0,0
19.099757524,0,0,1
19.099760364,0,1,1
19.100493546,0,1,0
19.102993004,0,0,0
19.569757470,0,0,1
19.569760310,0,1,1
19.570493490,0,1,0
19.572992950,0,0,0
20.039757412,0,0,1
20.039760252,0,1,1
20.040493434,0,1,0
20.042992892,0,0,0
20.509757352,0,0,1
20.509760192,0,1,1
20.510493374,0,1,0
20.512992832,0,0,0
20.979757290,0,0,1
20.979760130,0,1,1
20.980493312,0,1,0
20.982992770,0,0,0
21.449757226,0,0,1
21.449760066,0,1,1
21.450493246,0,1,0
21.452992706,0,0,0
21.919757158,0,0,1
21.919759998,0,1,1
21.920493180,0,1,0
21.922992638,0,0,0
22.389757088,0,0,1
22.389759928,0,1,1
22.390493110,0,1,0
22.392992568,0,0,0
22.859757016,0,0,1
22.859759856,0,1,1
22.860493038,0,1,0
22.862992496,0,0,0
23.329756942,0,0,1
23.329759782,0,1,1
23.330492962,0,1,0
23.332992422,0,0,0
23.799756864,0,0,1
23.799759704,0,1,1
23.800492886,0,1,0
23.802992344,0,0,0
24.269756786,0,0,1
24.269759626,0,1,1
24.270492806,0,1,0
24.271844096,1,1,0
24.273320106,0,1,0
24.273437078,0,0,0
24.739708704,0,0,1
24.739711544,0,1,1
24.740444726,0,1,0
24.742944184,0,0,0
25.209708620,0,0,1
25.209711460,0,1,1
25.210444642,0,1,0
25.212944100,0,0,0
25.679708534,0,0,1
25.679711374,0,1,1
25.680444556,0,1,0
25.682944014,0,0,0
26.149692448,0,0,1
26.149695288,0,1,1
26.150428468,0,1,0
26.152927926,0,0,0
26.619692358,0,0,1
26.619695198,0,1,1
26.620428378,0,1,0
26.622927838,0,0,0
27.089692266,0,0,1
27.089695106,0,1,1
27.090428288,0,1,0
27.092927746,0,0,0
27.559692172,0,0,1
27.559695012,0,1,1
27.560428194,0,1,0
27.562927652,0,0,0
28.029692076,0,0,1
28.029694918,0,1,1
28.030428098,0,1,0
28.032927556,0,0,0
28.499691980,0,0,1
28.499694820,0,1,1
28.500428000,0,1,0
28.502927460,0,0,0
28.969691880,0,0,1
28.969694720,0,1,1
28.970427902,0,1,0
28.972927360,0,0,0
29.439675780,0,0,1
29.439678620,0,1,1
29.440411800,0,1,0
29.442911260,0,0,0
29.909675678,0,0,1
29.909678516,0,1,1
29.910411698,0,1,0
29.912911156,0,0,0
30.379675572,0,0,1
30.379678412,0,1,1
30.380411594,0,1,0
30.382911052,0,0,0
30.849675466,0,0,1
30.849678306,0,1,1
30.850411488,0,1,0
30.852910946,0,0,0
31.319675358,0,0,1
31.319678198,0,1,1
31.320411380,0,1,0
31.322910838,0,0,0
31.789675248,0,0,1
31.789678090,0,1,1
31.790411270,0,1,0
31.792910728,0,0,0
32.259675138,0,0,1
32.259677978,0,1,1
32.260411158,0,1,0
32.262910618,0,0,0
32.729659026,0,0,1
32.729661866,0,1,1
32.730395046,0,1,0
