Time [s],Channel 5,Channel 6
0.000000000,1,0
7.810430814,0,0
7.811106556,1,0
7.811443200,0,0
8.205726374,0,1
8.206725892,0,0
8.207283998,0,1
8.670677686,1,1
8.673309216,0,1
8.673345162,0,0
8.673955426,0,1
18.540826886,1,1
18.543458466,0,1
18.543494354,0,0
18.544118584,0,1
18.545711852,0,0
19.009464338,0,1
19.011877606,0,0
19.479466624,0,1
19.481879642,0,0
19.949468896,0,1
19.951882164,0,0
20.419471266,0,1
20.421884284,0,0
20.889473548,0,1
20.891886816,0,0
21.359475932,0,1
21.361888950,0,0
21.829478198,0,1
21.831891216,0,0
22.299480494,0,1
22.301893760,0,0
22.769482788,0,1
22.771895806,0,0
23.239485072,0,1
23.241898340,0,0
23.709487472,0,1
23.711900490,0,0
24.179489716,0,1
24.181902984,0,0
24.649492054,0,1
24.651905070,0,0
25.119494340,0,1
25.121907608,0,0
25.589496680,0,1
25.591909698,0,0
26.059498964,0,1
26.061911980,0,0
26.529501218,0,1
26.531914236,0,0
26.999503518,0,1
27.001916786,0,0
27.469505766,0,1
27.471918784,0,0
27.939508080,0,1
27.941921348,0,0
28.409510330,0,1
28.410975042,1,1
28.413606964,0,1
28.413642846,0,0
28.879707746,0,1
28.882120764,0,0
29.349710078,0,1
29.352123096,0,0
29.819712322,0,1
29.822125338,0,0
30.289714532,0,1
30.292127798,0,0
30.759716848,0,1
30.762130116,0,0
31.229719154,0,1
31.232132172,0,0
31.699721356,0,1
31.702134624,0,0
32.169723644,0,1
32.172136662,0,0
32.639725910,0,1
32.642139178,0,0
33.109728162,0,1
33.112141180,0,0
33.579730442,0,1
33.582143460,0,0
34.049732650,0,1
34.052145918,0,0
34.519734984,0,1
34.522148002,0,0
34.989737152,0,1
34.992150420,0,0
35.459739476,0,1
35.462152494,0,0
35.929741710,0,1
35.932154978,0,0
36.399743982,0,1
36.402157000,0,0
36.869746214,0,1
36.872159482,0,0
37.339748482,0,1
37.342161500,0,0
37.809750728,0,1
37.812163994,0,0
38.279753008,0,1
38.281122590,1,1
38.283754198,0,1
38.283790274,0,0
38.749859996,0,1
38.752273262,0,0
39.219866996,0,1
39.222280014,0,0
39.689873998,0,1
39.692287016,0,0
40.159881052,0,1
40.162294070,0,0
40.629888034,0,1
40.632301052,0,0
41.099894990,0,1
41.102308258,0,0
41.569902008,0,1
41.572315024,0,0
42.039909064,0,1
42.042322082,0,0
42.509916034,0,1
42.512329300,0,0
42.979923030,0,1
42.982336048,0,0
43.449930048,0,1
43.452343064,0,0
43.919937070,0,1
43.922350088,0,0
44.389944046,0,1
44.392357064,0,0
44.859951026,0,1
44.862364292,0,0
45.329958006,0,1
