Time [s],Channel 9,Channel 10,Channel 11
0.000000000,0,0,0
6.886616234,1,0,0
6.888092244,0,0,0
7.354485950,0,0,1
7.354488790,0,1,1
7.355245972,0,1,0
7.357709950,0,0,0
7.824486390,0,0,1
7.824489216,0,1,1
7.825246414,0,1,0
7.827710390,0,0,0
8.294486826,0,0,1
8.294489652,0,1,1
8.295246850,0,1,0
8.297710826,0,0,0
8.764487258,0,0,1
8.764490082,0,1,1
8.765247280,0,1,0
8.767711256,0,0,0
9.234487682,0,0,1
9.234490506,0,1,1
9.235247704,0,1,0
9.237711682,0,0,0
9.704488102,0,0,1
9.704490926,0,1,1
9.705248124,0,1,0
9.707712100,0,0,0
10.174488516,0,0,1
10.174491340,0,1,1
10.175248538,0,1,0
10.177712516,0,0,0
10.644488926,0,0,1
10.644491752,0,1,1
10.645248948,0,1,0
10.647712926,0,0,0
11.114489332,0,0,1
11.114492156,0,1,1
11.115249352,0,1,0
11.117713330,0,0,0
11.584489732,0,0,1
11.584492556,0,1,1
11.585249754,0,1,0
11.587713730,0,0,0
12.054490128,0,0,1
12.054492952,0,1,1
12.055250150,0,1,0
12.057714126,0,0,0
12.524490518,0,0,1
12.524493344,0,1,1
12.525250540,0,1,0
12.527714518,0,0,0
12.994490906,0,0,1
12.994493730,0,1,1
12.995250928,0,1,0
12.997714904,0,0,0
13.464491288,0,0,1
13.464494114,0,1,1
13.465251310,0,1,0
13.467715288,0,0,0
13.934491668,0,0,1
13.934494492,0,1,1
13.935251690,0,1,0
13.937715666,0,0,0
14.404492042,0,0,1
14.404494868,0,1,1
14.405252064,0,1,0
14.407716042,0,0,0
14.874492414,0,0,1
14.874495238,0,1,1
14.875252436,0,1,0
14.876586396,1,1,0
14.878062408,0,1,0
14.878174726,0,0,0
15.344456782,0,0,1
15.344459606,0,1,1
15.345216804,0,1,0
15.347680780,0,0,0
15.814457144,0,0,1
15.814459970,0,1,1
15.815217166,0,1,0
15.817681144,0,0,0
16.284457506,0,0,1
16.284460330,0,1,1
16.285217526,0,1,0
16.287681504,0,0,0
16.754457862,0,0,1
16.754460686,0,1,1
16.755217884,0,1,0
16.757681860,0,0,0
17.224458216,0,0,1
17.224461040,0,1,1
17.225218238,0,1,0
17.227682214,0,0,0
17.694458566,0,0,1
17.694461390,0,1,1
17.695218588,0,1,0
17.697682564,0,0,0
18.164458912,0,0,1
18.164461738,0,1,1
18.165218934,0,1,0
18.167682912,0,0,0
18.634459256,0,0,1
18.634462082,0,1,1
18.635219278,0,1,0
18.637683256,0,0,0
19.104459598,0,0,1
19.104462422,0,1,1
19.105219620,0,1,0
19.107683596,0,0,0
19.574459936,0,0,1
19.574462760,0,1,1
19.575219958,0,1,0
19.577683934,0,0,0
20.044460270,0,0,1
20.044463096,0,1,1
20.045220292,0,1,0
20.047684268,0,0,0
20.514460602,0,0,1
20.514463426,0,1,1
20.515220624,0,1,0
20.517684600,0,0,0
20.984460930,0,0,1
20.984463756,0,1,1
20.985220952,0,1,0
20.987684930,0,0,0
21.454461256,0,0,1
21.454464082,0,1,1
21.455221278,0,1,0
21.457685256,0,0,0
21.924461580,0,0,1
21.924464406,0,1,1
21.925221602,0,1,0
21.927685578,0,0,0
22.394461902,0,0,1
22.394464726,0,1,1
22.395221924,0,1,0
22.397685900,0,0,0
22.864462220,0,0,1
22.864465044,0,1,1
22.865222242,0,1,0
22.867686218,0,0,0
23.334462536,0,0,1
23.334465172,0,1,1
23.335222558,0,1,0
23.337686408,0,0,0
23.804462848,0,0,1
23.804465674,0,1,1
23.805222870,0,1,0
23.807686846,0,0,0
24.274463160,0,0,1
24.274465984,0,1,1
24.275223182,0,1,0
24.277687158,0,0,0
24.744463468,0,0,1
24.744466292,0,1,1
24.745223490,0,1,0
24.746548066,1,1,0
24.748024076,0,1,0
24.748141278,0,0,0
25.214415774,0,0,1
25.214418598,0,1,1
25.215175796,0,1,0
25.217639772,0,0,0
25.684414078,0,0,1
25.684416902,0,1,1
25.685174098,0,1,0
25.687638076,0,0,0
26.154412378,0,0,1
26.154415204,0,1,1
26.155172400,0,1,0
26.157636378,0,0,0
26.624410678,0,0,1
26.624413504,0,1,1
26.625170700,0,1,0
26.627634676,0,0,0
27.094408976,0,0,1
27.094411800,0,1,1
27.095168996,0,1,0
27.097632974,0,0,0
27.564406270,0,0,1
27.564409096,0,1,1
27.565166292,0,1,0
27.567630268,0,0,0
28.034404564,0,0,1
28.034407388,0,1,1
28.035164586,0,1,0
28.037628562,0,0,0
28.504402854,0,0,1
28.504405680,0,1,1
28.505162876,0,1,0
28.507626852,0,0,0
28.974401144,0,0,1
28.974403968,0,1,1
28.975161164,0,1,0
28.977625142,0,0,0
29.444399430,0,0,1
29.444402254,0,1,1
29.445159452,0,1,0
29.447623428,0,0,0
29.914396714,0,0,1
29.914399540,0,1,1
29.915156736,0,1,0
29.917620712,0,0,0
30.384394998,0,0,1
30.384397822,0,1,1
30.385155020,0,1,0
30.387618996,0,0,0
30.854393278,0,0,1
30.854396102,0,1,1
30.855153300,0,1,0
30.857617276,0,0,0
31.324391558,0,0,1
31.324394382,0,1,1
31.325151580,0,1,0
31.327615556,0,0,0
31.794389834,0,0,1
31.794392660,0,1,1
31.795149856,0,1,0
31.797613834,0,0,0
32.264387110,0,0,1
32.264389934,0,1,1
32.265147132,0,1,0
32.267611108,0,0,0
32.734385382,0,0,1
32.734388208,0,1,1
32.735145404,0,1,0
32.737609382,0,0,0
33.204383654,0,0,1
33.204386480,0,1,1
33.205143676,0,1,0
33.207607654,0,0,0
33.674381926,0,0,1
33.674384750,0,1,1
33.675141946,0,1,0
33.676512494,1,1,0
33.677988504,0,1,0
33.678104674,0,0,0
34.144380194,0,0,1
34.144383018,0,1,1
34.145140216,0,1,0
34.147604192,0,0,0
34.614378460,0,0,1
34.614381284,0,1,1
34.615138482,0,1,0
34.617602458,0,0,0
35.084375724,0,0,1
35.084378550,0,1,1
35.085135746,0,1,0
35.087599722,0,0,0
35.554373988,0,0,1
35.554376812,0,1,1
35.555134010,0,1,0
35.557597986,0,0,0
36.024372250,0,0,1
36.024375074,0,1,1
36.025132270,0,1,0
36.027596248,0,0,0
36.494370510,0,0,1
36.494373334,0,1,1
36.495130530,0,1,0
36.497594508,0,0,0
36.964368768,0,0,1
36.964371592,0,1,1
36.965128788,0,1,0
36.967592766,0,0,0
37.434366024,0,0,1
37.434368850,0,1,1
37.435126046,0,1,0
37.437590022,0,0,0
37.904364280,0,0,1
37.904367104,0,1,1
37.905124302,0,1,0
37.907588278,0,0,0
38.374362534,0,0,1
38.374365358,0,1,1
38.375122556,0,1,0
38.377586532,0,0,0
38.844360786,0,0,1
38.844363610,0,1,1
38.845120808,0,1,0
38.847584784,0,0,0
39.314359038,0,0,1
39.314361862,0,1,1
39.315119058,0,1,0
39.317583036,0,0,0
39.784357286,0,0,1
39.784360112,0,1,1
39.785117308,0,1,0
39.787581284,0,0,0
40.254354534,0,0,1
40.254357360,0,1,1
40.255114556,0,1,0
40.257578534,0,0,0
40.724352782,0,0,1
40.724355606,0,1,1
40.725112804,0,1,0
40.727576780,0,0,0
41.194351028,0,0,1
41.194353852,0,1,1
41.195111048,0,1,0
41.197575026,0,0,0
41.664349272,0,0,1
41.664352096,0,1,1
41.665109292,0,1,0
41.667573270,0,0,0
42.134347514,0,0,1
42.134350338,0,1,1
42.135107536,0,1,0
42.137571512,0,0,0
42.604345756,0,0,1
42.604348580,0,1,1
42.605105778,0,1,0
42.607569754,0,0,0
43.074342996,0,0,1
43.074345820,0,1,1
43.075103018,0,1,0
43.076474394,1,1,0
43.077950404,0,1,0
43.078067870,0,0,0
43.544342234,0,0,1
43.544345060,0,1,1
43.545102256,0,1,0
43.547566232,0,0,0
44.014340472,0,0,1
44.014343296,0,1,1
44.015100494,0,1,0
44.017564470,0,0,0
44.484338708,0,0,1
44.484341534,0,1,1
44.485098730,0,1,0
44.487562706,0,0,0
44.954336944,0,0,1
44.954339768,0,1,1
44.955096966,0,1,0
44.957560942,0,0,0
45.424335178,0,0,1
45.424338002,0,1,1
45.425095200,0,1,0
45.427559176,0,0,0
45.894332410,0,0,1
45.894335236,0,1,1
45.895092432,0,1,0
45.897556408,0,0,0
46.364330642,0,0,1
46.364333468,0,1,1
46.365090664,0,1,0
46.367554640,0,0,0
46.834328874,0,0,1
46.834331698,0,1,1
46.835088894,0,1,0
46.837552870,0,0,0
47.304327102,0,0,1
47.304329928,0,1,1
47.305087124,0,1,0
47.307551100,0,0,0
47.774325330,0,0,1
47.774328156,0,1,1
47.775085352,0,1,0
47.777549328,0,0,0
48.244323558,0,0,1
48.244326382,0,1,1
48.245083580,0,1,0
48.247547556,0,0,0
48.714320784,0,0,1
48.714323608,0,1,1
48.715080806,0,1,0
48.717544782,0,0,0
49.184319008,0,0,1
49.184321834,0,1,1
49.185079030,0,1,0
49.187543006,0,0,0
49.654317232,0,0,1
49.654320058,0,1,1
49.655077254,0,1,0
49.657541230,0,0,0
50.124315456,0,0,1
50.124318280,0,1,1
50.125075476,0,1,0
50.127539454,0,0,0
50.594313678,0,0,1
50.594316502,0,1,1
50.595073700,0,1,0
50.597537674,0,0,0
51.064311898,0,0,1
51.064314722,0,1,1
51.065071920,0,1,0
51.067535896,0,0,0
51.534309118,0,0,1
51.534311942,0,1,1
51.535069138,0,1,0
51.537533116,0,0,0
52.004307336,0,0,1
52.004310160,0,1,1
52.005067358,0,1,0
52.007531334,0,0,0
52.474305554,0,0,1
52.474308378,0,1,1
52.475065576,0,1,0
52.476435608,1,1,0
52.477911618,0,1,0
52.478028364,0,0,0
52.944303770,0,0,1
52.944306596,0,1,1
52.945063792,0,1,0
52.947527768,0,0,0
53.414301986,0,0,1
53.414304812,0,1,1
53.415062008,0,1,0
53.417525984,0,0,0
53.884300202,0,0,1
53.884303026,0,1,1
53.885060222,0,1,0
53.887524200,0,0,0
54.354297416,0,0,1
54.354300240,0,1,1
54.355057436,0,1,0
54.357521412,0,0,0
54.824295628,0,0,1
54.824298452,0,1,1
54.825055650,0,1,0
